Name,Type,By,Anbefalt av,Besøkt dato,Lokasjon,Hjemmeside,KoblingKalender,🍷 Fått av drikke
Nepali - Himalayan restaurant,"Casual, Indisk, Restaurant",Oslo,,Lørdags-date,,,Lørdags-date (https://www.notion.so/L-rdags-date-94705222e4b64dd98226f4b59279b8dd?pvs=21),
Matlarm 2023,Festival,Oslo,,Matlarm,,,Matlarm (https://www.notion.so/Matlarm-249653f2609a4171974b5c75d654f0d2?pvs=21),Alde Svans (https://www.notion.so/Alde-Svans-413315d1eb7c45f8bc386cbf208cbbbd?pvs=21)
Varemottaket,Restaurant,Oslo,,,,,,
Brasserie Rivoli,"Restaurant, Uteservering",Oslo,,,,,,
Maaltid,"Casual, Restaurant, Uteservering, Vinbar",Oslo,,,"Tøyen ",,,
Söl,Restaurant,Stavanger,,SommerDate - Stavanger,"Hetlandsgata 6 
4013 Stavanger",https://www.restaurantsoel.com/,SommerDate - Stavanger (https://www.notion.so/SommerDate-Stavanger-1c83964552ea43b892f155d6ae38833c?pvs=21),Elios Modus Bibendi Bianco (https://www.notion.so/Elios-Modus-Bibendi-Bianco-338df96b0fdc4470b1b6f3edce1409e3?pvs=21)
IKI,"Restaurant, Uteservering",Oslo,,,,,,
Hyde,Restaurant,Oslo,,,,,,
Madonna,Restaurant,Oslo,,,Oslobukta,https://www.madonnaoslo.no/meny,,
St.Lars,,,,Bursdagsfeiring Cec 24,,,Bursdagsfeiring Cec 24 (https://www.notion.so/Bursdagsfeiring-Cec-24-84629ec2884a4a57a413dea642f29f09?pvs=21),
